date,net_sales,transactions_count,average_ticket,cold_hours,snow_hours,rain_hours,hot_hours,is_holiday,short_event_count,season
2025-01-01,2308.12,39,59.1825641025641,0,0,4,0,1,0,Winter
2025-01-02,5894.900000000001,74,79.66081081081082,8,0,0,0,0,0,Winter
2025-01-03,6421.41,102,62.955,14,7,0,0,0,0,Winter
2025-01-04,5977.9800000000005,85,70.32917647058824,15,0,0,0,0,0,Winter
2025-01-05,2471.39,38,65.03657894736841,15,1,0,0,0,0,Winter
2025-01-06,1674.21,32,52.3190625,15,15,0,0,0,1,Winter
2025-01-07,2831.33,58,48.81603448275862,15,8,0,0,0,0,Winter
2025-01-08,3288.62,47,69.97063829787234,15,1,0,0,0,0,Winter
2025-01-09,4149.59,52,79.7998076923077,15,1,0,0,0,0,Winter
2025-01-10,6950.4,104,66.83076923076922,15,2,0,0,0,0,Winter
2025-01-11,6727.64,71,94.75549295774648,15,4,0,0,0,0,Winter
2025-01-12,4226.49,46,91.88021739130434,4,0,0,0,0,0,Winter
2025-01-13,1084.67,16,67.791875,13,6,0,0,0,0,Winter
2025-01-14,2985.9,48,62.206250000000004,15,0,0,0,0,0,Winter
2025-01-15,5096.0,88,57.90909090909091,15,2,0,0,0,0,Winter
2025-01-16,2820.86,49,57.56857142857143,15,14,0,0,0,0,Winter
2025-01-17,6550.52,98,66.84204081632653,4,0,0,0,0,0,Winter
2025-01-18,7294.2,87,83.84137931034482,5,2,9,0,0,0,Winter
2025-01-19,1715.62,27,63.541481481481476,15,12,0,0,0,0,Winter
2025-01-20,2740.64,44,62.28727272727272,15,12,0,0,0,0,Winter
2025-01-21,3308.93,53,62.43264150943396,15,3,0,0,0,0,Winter
2025-01-22,4238.12,57,74.35298245614035,15,2,0,0,0,0,Winter
2025-01-23,3771.48,62,60.83032258064516,15,11,0,0,0,0,Winter
2025-01-24,5623.36,70,80.33371428571428,15,0,0,0,0,0,Winter
2025-01-25,7591.89,91,83.42736263736263,15,8,0,0,0,0,Winter
2025-01-26,2485.4,40,62.135000000000005,13,0,0,0,0,0,Winter
2025-01-27,1903.18,23,82.74695652173914,11,5,0,0,0,0,Winter
